,PRIMARY,GAIA,HD,HIP,GJ,TIC,KIC,CSTL,WDS,SPTP,OBTP,RA,DEC,ID,WDS_code,hip,Sptype,mv1,mv2,period,ecc,prlx,semi_arcsec,semi_AU,inc,Mdyn,Mph,Msp,M1,M2,origin,bibcode,Ms2,node,T0,omega,sep_arcsec,sep_last,vmag,plx,dist,Ms,Flux_ratio,WDS(code),Ms1
10,HD21962,Gaia DR3 42768532716776704,HD21962,HIP16538,-,TIC435290852,-,-,J03330+1636A,F5,PM*,53.2397,16.5984,7,03330+1636,,F5,7.0,10.5,,,,,,,,,,,,COMPOSITE,,0.57,,,,-1.0,-1.0,7.028,20.7443,48.206,1.265,3.98,03330+1636,
11,HD21962,Gaia DR3 42768532716776704,HD21962,HIP16538,-,TIC435290852,-,-,J03330+1636A,F5,PM*,53.2397,16.5984,7,03330+1636,,F5,7.0,10.5,,,,,,,,,,,,WDS_THE.csv,,0.57,,,,-1.0,-1.0,7.028,20.7443,48.206,1.265,3.98,03330+1636,
12,HD24496A,Gaia DR3 43499295632961152,HD24496A,HIP18267,GJ3255,TIC242942985,-,-,J03545+1637A,G7V,PM*,58.6168,16.6161,8,03545+1637,,,,,,,,,,,,,,,,StelleDoppie,ORB6,,,,,,,6.812,48.849,20.471,0.845,,03545+1637,
13,HD24496A,Gaia DR3 43499295632961152,HD24496A,HIP18267,GJ3255,TIC242942985,-,-,J03545+1637A,G7V,PM*,58.6168,16.6161,8,03545+1637,HIP18267,,6.9,11.1,500.0,0.73,,,73.0,130.6,,,,1.0,0.54,COMPOSITE,,0.32,,,,2.6,,6.812,48.849,20.471,0.845,,03545+1637,
14,HD24496A,Gaia DR3 43499295632961152,HD24496A,HIP18267,GJ3255,TIC242942985,-,-,J03545+1637A,G7V,PM*,58.6168,16.6161,8,03545+1637,,G0,6.9,11.1,,,,,,,,,,,,WDS_THE.csv,,0.32,,,,2.6,3.6,6.812,48.849,20.471,0.845,2.09,03545+1637,
15,HD24496A,Gaia DR3 43499295632961152,HD24496A,HIP18267,GJ3255,TIC242942985,-,-,J03545+1637A,G7V,PM*,58.6168,16.6161,8,03545+1637,HIP18267,,,,500.0,0.73,,,73.0,130.6,,,,1.0,0.54,Qier_An+25,2025ApJS..280...61A,,,,,2.91,,6.812,48.849,20.471,0.845,,03545+1637,
16,HD27149,Gaia DR3 47620265212420096,HD27149,HIP20056,-,TIC17150156,-,-,-,G4V+G8V,RS*,64.5076,18.2568,10,,HIP20056,G4V+G8V,7.54,,75.7,0.26,,,,,,,,,,Pourbaix+04,2003Obs...123....1T,,,,178.32,0.38,,7.528,21.5698,46.361,0.955,,-,
17,HD27149,Gaia DR3 47620265212420096,HD27149,HIP20056,-,TIC17150156,-,-,-,G4V+G8V,RS*,64.5076,18.2568,10,,HIP20056,G4V+G8V,7.54,,75.7,0.24,,,,,,,,,,COMPOSITE,,,,,173.26,,,7.528,21.5698,46.361,0.955,,-,
18,HD27149,Gaia DR3 47620265212420096,HD27149,HIP20056,-,TIC17150156,-,-,-,G4V+G8V,RS*,64.5076,18.2568,10,,HIP20056,G4V+G8V,7.54,,75.7,0.23,,,,,,,,,,Pourbaix+04,1973PDAO...14..135B,,,,168.2,0.38,,7.528,21.5698,46.361,0.955,,-,
19,39Tau,Gaia DR3 53112944270520832,HD25680,HIP19076,GJ160,TIC15736408,-,39Tau,"J04053+2201Aa,Ab",G5V,**,61.3344,22.0089,12,04053+2201,,G5V,5.97,,6.05,,,,,,,,,,,COMPOSITE,,,,,,0.2,0.4,5.903,59.4728,16.814,1.04,,04053+2201,
20,39Tau,Gaia DR3 53112944270520832,HD25680,HIP19076,GJ160,TIC15736408,-,39Tau,"J04053+2201Aa,Ab",G5V,**,61.3344,22.0089,12,04053+2201,,G5V,5.97,,,,,,,,,,,,,WDS_THE.csv,,,,,,0.2,0.4,5.903,59.4728,16.814,1.04,,04053+2201,
21,39Tau,Gaia DR3 53112944270520832,HD25680,HIP19076,GJ160,TIC15736408,-,39Tau,"J04053+2201Aa,Ab",G5V,**,61.3344,22.0089,12,04053+2201,,,,,,,,,,,,,,,,StelleDoppie,ORB6,,,,,,,5.903,59.4728,16.814,1.04,,04053+2201,
22,HD20477,Gaia DR3 56092345901034880,HD20477,HIP15381,-,TIC427020093,-,-,J03183+1810AB,G0,**,49.5833,18.1716,13,03183+1810,,G0,8.3,8.3,,,,,,,,,,,,WDS_THE.csv,,1.06,,,,0.4,0.4,7.52,21.1238,47.34,1.065,100.0,03183+1810,
23,HD20477,Gaia DR3 56092345901034880,HD20477,HIP15381,-,TIC427020093,-,-,J03183+1810AB,G0,**,49.5833,18.1716,13,03183+1810,,G0,8.3,8.3,56.53,,,,,,,,,,,COMPOSITE,,1.06,,,,0.4,0.4,7.52,21.1238,47.34,1.065,100.0,03183+1810,
24,HD20477,Gaia DR3 56092345901034880,HD20477,HIP15381,-,TIC427020093,-,-,J03183+1810AB,G0,**,49.5833,18.1716,13,03183+1810,,,,,,,,,,,,,,,,StelleDoppie,ORB6,,,,,,,7.52,21.1238,47.34,1.065,,03183+1810,
25,HD22403,Gaia DR3 69443337640657536,HD22403,HIP16879,-,TIC46674348,-,-,-,G4,PM*,54.296,25.9911,17,,HIP16879,G2V+,8.1,,2.0,0.01,,,,,,,,,,COMPOSITE,,,,,136.33,,,7.28,27.3205,36.603,0.975,,-,
26,HD22403,Gaia DR3 69443337640657536,HD22403,HIP16879,-,TIC46674348,-,-,-,G4,PM*,54.296,25.9911,17,,HIP16879,G2V+,8.1,,2.0,0.04,,,,,,,,,,Pourbaix+04,1979A&A....74..113C,,,,266.0,0.04,,7.28,27.3205,36.603,0.975,,-,
27,HD22403,Gaia DR3 69443337640657536,HD22403,HIP16879,-,TIC46674348,-,-,-,G4,PM*,54.296,25.9911,17,,HIP16879,G2V+,8.1,,2.0,0.0,,,,,,,,,,Pourbaix+04,2002AJ....124.1144L,,,,143.0,0.04,,7.28,27.3205,36.603,0.975,,-,
28,HD22403,Gaia DR3 69443337640657536,HD22403,HIP16879,-,TIC46674348,-,-,-,G4,PM*,54.296,25.9911,17,,HIP16879,G2V+,8.1,,2.0,0.0,,,,,,,,,,Pourbaix+04,1992MNRAS.256..575S,,,,0.0,0.04,,7.28,27.3205,36.603,0.975,,-,
29,29Ari,Gaia DR3 75349600571311744,HD15814,HIP11843,GJ3161,TIC408817657,-,29Ari,J02329+1502AB,F8V,SB*,38.2256,15.0345,19,02329+1502,,G0V,4.6,,,,,,,,,,,,,WDS_THE.csv,,,,,,0.1,0.1,6.012,34.1525,29.28,1.135,,02329+1502,
30,29Ari,Gaia DR3 75349600571311744,HD15814,HIP11843,GJ3161,TIC408817657,-,29Ari,J02329+1502AB,F8V,SB*,38.2256,15.0345,19,,HIP11843,F7V+G5V,6.04,,19.5,0.41,,,,,,,,,,Pourbaix+04,2013AJ....145...41K,,,,179.09,0.26,,6.012,34.1525,29.28,1.135,,02329+1502,
31,29Ari,Gaia DR3 75349600571311744,HD15814,HIP11843,GJ3161,TIC408817657,-,29Ari,J02329+1502AB,F8V,SB*,38.2256,15.0345,19,02329+1502,,G0V,5.32,8.2,19.45,0.4,,,,,,,,,,COMPOSITE,,0.58,,,181.64,0.75,1.4,6.012,34.1525,29.28,1.135,3.63,02329+1502,
32,29Ari,Gaia DR3 75349600571311744,HD15814,HIP11843,GJ3161,TIC408817657,-,29Ari,J02329+1502AB,F8V,SB*,38.2256,15.0345,19,02329+1502,,G0V,4.6,8.2,,,,,,,,,,,,WDS_THE.csv,,0.5,,,,1.4,1.4,6.012,34.1525,29.28,1.135,3.63,02329+1502,
33,29Ari,Gaia DR3 75349600571311744,HD15814,HIP11843,GJ3161,TIC408817657,-,29Ari,J02329+1502AB,F8V,SB*,38.2256,15.0345,19,,HIP11843,F7V+G5V,6.04,,19.4,0.39,,,,,,,,,,Pourbaix+04,1986PASP...98..468L,,,,184.2,0.26,,6.012,34.1525,29.28,1.135,,02329+1502,
34,HD17332A,Gaia DR3 84625634714435968,HD17332A,-,-,TIC247405885,-,-,J02475+1922A,G1V,PM*,41.8643,19.3718,20,02475+1922,,,6.9,,531.5,,,2.31,,,,,,,,Chulkov+22,2022MNRAS.517.2925C,,,,,,,7.304,30.188,33.126,0.905,,02475+1922,
35,HD17332A,Gaia DR3 84625634714435968,HD17332A,-,-,TIC247405885,-,-,J02475+1922A,G1V,PM*,41.8643,19.3718,20,02475+1922,,,7.5,8.3,531.0,0.61,,2.3,,111.0,,,,,,StelleDoppie,ORB6,0.75,133.0,1761.0,18.0,,,7.304,30.188,33.126,0.905,47.86,02475+1922,
36,HD17332A,Gaia DR3 84625634714435968,HD17332A,-,-,TIC247405885,-,-,J02475+1922A,G1V,PM*,41.8643,19.3718,20,02475+1922,HIP13027,G0V           ,7.52,8.25,720.0,0.77,29.8,2.91,,,,,,,,Malkov+12,2012A&A...546A..69M,0.76,,,,,,7.304,30.188,33.126,0.905,51.05,02475+1922,
37,HD17332A,Gaia DR3 84625634714435968,HD17332A,-,-,TIC247405885,-,-,J02475+1922A,G1V,PM*,41.8643,19.3718,20,02475+1922,,,7.51,8.25,531.5,0.69,,2.31,,111.0,,,,,,COMPOSITE,,0.76,133.0,1761.0,18.0,1.6,,7.304,30.188,33.126,0.905,,02475+1922,
38,HD17332A,Gaia DR3 84625634714435968,HD17332A,-,-,TIC247405885,-,-,J02475+1922A,G1V,PM*,41.8643,19.3718,20,02475+1922,,G0V,7.52,8.25,,,,,,,,,,,,WDS_THE.csv,,0.76,,,,1.6,3.6,7.304,30.188,33.126,0.905,51.05,02475+1922,
39,HD10476,Gaia DR3 96331172942614528,HD10476,HIP7981,GJ68+GJ68.0,TIC113710966,-,2Ari+107Psc,J01425+2016A,K1V,PM*,25.624,20.2685,22,01425+2016,,,5.22,,0.6,0.0,,0.0,,,,,,,,COMPOSITE,,,,,,,,5.252,130.8234,7.644,0.846,,01425+2016,
40,HD10476,Gaia DR3 96331172942614528,HD10476,HIP7981,GJ68+GJ68.0,TIC113710966,-,2Ari+107Psc,J01425+2016A,K1V,PM*,25.624,20.2685,22,01425+2016,,,,,,,,,,,,,,,,StelleDoppie,ORB6,,,,,,,5.252,130.8234,7.644,0.846,,01425+2016,
41,HD10476,Gaia DR3 96331172942614528,HD10476,HIP7981,GJ68+GJ68.0,TIC113710966,-,2Ari+107Psc,J01425+2016A,K1V,PM*,25.624,20.2685,22,01425+2016,HIP7981,K1V           ,5.2,,0.6,0.0,132.76,0.0,,,,,,,,Malkov+12,2012A&A...546A..69M,,,,,,,5.252,130.8234,7.644,0.846,,01425+2016,
42,HD10476,Gaia DR3 96331172942614528,HD10476,HIP7981,GJ68+GJ68.0,TIC113710966,-,2Ari+107Psc,J01425+2016A,K1V,PM*,25.624,20.2685,22,01425+2016,,,5.24,,0.6,,,0.0,,,,,,,,Chulkov+22,2022MNRAS.517.2925C,,,,,,,5.252,130.8234,7.644,0.846,,01425+2016,
43,30AriB,Gaia DR3 102082477749475200,HD16232,HIP12184,-,TIC22874788,-,30AriB,J02370+2439B,F6V,PM*,39.2406,24.6481,26,02370+2439,,F8V+M1V,7.02,11.0,79.7,,,,,,,,,,,COMPOSITE,,0.49,,,,0.5,0.6,7.092,22.5107,44.423,1.235,2.56,02370+2439,
44,30AriB,Gaia DR3 102082477749475200,HD16232,HIP12184,-,TIC22874788,-,30AriB,J02370+2439B,F6V,PM*,39.2406,24.6481,26,02370+2439,,F8V+M1V,7.02,11.0,,,,,,,,,,,,WDS_THE.csv,,0.49,,,,0.5,0.6,7.092,22.5107,44.423,1.235,2.56,02370+2439,
45,HD18940,Gaia DR3 109931856900594432,HD18940,HIP14230,-,TIC61105191,-,-,J03035+2304AB,G0,**,45.8693,23.0613,31,03035+2304,HIP14230,G2   K2       ,7.19,9.1,6.0,0.88,29.39,0.11,,69.0,1.5,1.91,1.79,,,COMPOSITE,,0.62,21.0,1999.3,144.0,4.1,,7.056,25.5049,39.208,0.965,20.51,03035+2304,
46,HD18940,Gaia DR3 109931856900594432,HD18940,HIP14230,-,TIC61105191,-,-,J03035+2304AB,G0,**,45.8693,23.0613,31,03035+2304,,F8V+K0V,7.29,9.02,,,,,,,,,,,,WDS_THE.csv,,0.65,,,,0.0,0.0,7.056,25.5049,39.208,0.965,20.32,03035+2304,
47,HD18940,Gaia DR3 109931856900594432,HD18940,HIP14230,-,TIC61105191,-,-,J03035+2304AB,G0,**,45.8693,23.0613,31,03035+2304,,G0,5.5,10.71,,,,,,,,,,,,WDS_THE.csv,,0.29,,,,4.1,4.5,7.056,25.5049,39.208,0.965,0.82,03035+2304,
48,HD18940,Gaia DR3 109931856900594432,HD18940,HIP14230,-,TIC61105191,-,-,J03035+2304AB,G0,**,45.8693,23.0613,31,03035+2304,,G0,5.5,10.08,,,,,,,,,,,,WDS_THE.csv,,0.34,,,,4.3,4.3,7.056,25.5049,39.208,0.965,1.47,03035+2304,
49,HD18940,Gaia DR3 109931856900594432,HD18940,HIP14230,-,TIC61105191,-,-,J03035+2304AB,G0,**,45.8693,23.0613,31,03035+2304,,,7.09,,6.0,,,0.11,,,,,,,,Chulkov+22,2022MNRAS.517.2925C,,,,,,,7.056,25.5049,39.208,0.965,,03035+2304,
50,HD18940,Gaia DR3 109931856900594432,HD18940,HIP14230,-,TIC61105191,-,-,J03035+2304AB,G0,**,45.8693,23.0613,31,03035+2304,HIP14230,G2   K2       ,7.38,9.1,6.0,0.88,29.39,0.11,,,1.5,1.91,1.79,,,Malkov+12,2012A&A...546A..69M,0.65,,,,,,7.056,25.5049,39.208,0.965,20.51,03035+2304,
51,HD18940,Gaia DR3 109931856900594432,HD18940,HIP14230,-,TIC61105191,-,-,J03035+2304AB,G0,**,45.8693,23.0613,31,03035+2304,,,7.3,9.0,6.0,0.88,,0.1,,69.0,,,,,,StelleDoppie,ORB6,0.65,21.0,1999.3,144.0,,,7.056,25.5049,39.208,0.965,20.89,03035+2304,
52,HD17382,Gaia DR3 114832620743735808,HD17382,HIP13081,GJ113A+GJ113B,TIC397368422,-,-,J02482+2704A,K2,BY*,42.0381,27.0686,32,,HIP13081,+,7.6,8.6,15.5,0.66,,0.04,6.32,95.65,,,,0.9,0.19,COMPOSITE,,0.67,,,113.62,0.3,,7.612,43.5704,22.951,0.845,,02482+2704,
53,HD17382,Gaia DR3 114832620743735808,HD17382,HIP13081,GJ113A+GJ113B,TIC397368422,-,-,J02482+2704A,K2,BY*,42.0381,27.0686,32,02482+2704,,,7.56,,15.5,,,0.04,,,,,,,,Chulkov+22,2022MNRAS.517.2925C,,,,,,,7.612,43.5704,22.951,0.845,,02482+2704,
54,HD17382,Gaia DR3 114832620743735808,HD17382,HIP13081,GJ113A+GJ113B,TIC397368422,-,-,J02482+2704A,K2,BY*,42.0381,27.0686,32,02482+2704,HIP13081,,,,15.2,0.66,,,6.32,95.65,,,,0.9,0.19,Qier_An+25,2025ApJS..280...61A,,,,,0.25,,7.612,43.5704,22.951,0.845,,02482+2704,
55,HD17382,Gaia DR3 114832620743735808,HD17382,HIP13081,GJ113A+GJ113B,TIC397368422,-,-,J02482+2704A,K2,BY*,42.0381,27.0686,32,02482+2704,,K1V,5.7,8.6,,,,,,,,,,,,WDS_THE.csv,,0.43,,,,0.3,0.3,7.612,43.5704,22.951,0.845,6.92,02482+2704,
56,HD17382,Gaia DR3 114832620743735808,HD17382,HIP13081,GJ113A+GJ113B,TIC397368422,-,-,J02482+2704A,K2,BY*,42.0381,27.0686,32,02482+2704,,,,,,,,,,,,,,,,StelleDoppie,ORB6,,,,,,,7.612,43.5704,22.951,0.845,,02482+2704,
57,HD17382,Gaia DR3 114832620743735808,HD17382,HIP13081,GJ113A+GJ113B,TIC397368422,-,-,J02482+2704A,K2,BY*,42.0381,27.0686,32,02482+2704,HIP13081,K1V           ,7.6,,15.5,0.0,40.59,0.04,,,,,,,,Malkov+12,2012A&A...546A..69M,,,,,,,7.612,43.5704,22.951,0.845,,02482+2704,
58,HD17382,Gaia DR3 114832620743735808,HD17382,HIP13081,GJ113A+GJ113B,TIC397368422,-,-,J02482+2704A,K2,BY*,42.0381,27.0686,32,,HIP13081,+,7.6,,5954.0,0.66,,,,,,,,,,Pourbaix+04,2018A&A...619A..81H,,,,110.74,13.53,,7.612,43.5704,22.951,0.845,,02482+2704,
59,HD17382,Gaia DR3 114832620743735808,HD17382,HIP13081,GJ113A+GJ113B,TIC397368422,-,-,J02482+2704A,K2,BY*,42.0381,27.0686,32,,HIP13081,+,7.6,,6127.0,0.69,,,,,,,,,,Pourbaix+04,2002AJ....124.1144L,,,,116.5,13.79,,7.612,43.5704,22.951,0.845,,02482+2704,
60,HD18143A,Gaia DR3 116037204451525376,HD18143A,HIP13642,GJ118.2A+GJ9105A,TIC436933290+TIC436933294,-,-,J02556+2652A,K2IV,PM*,43.9127,26.8732,34,02556+2652,,,7.6,10.02,910.0,0.27,,,108.0,111.5,,,,0.92,0.62,COMPOSITE,,0.48,,,,4.6,,7.518,44.4324,22.506,0.845,,02556+2652,
61,HD18143A,Gaia DR3 116037204451525376,HD18143A,HIP13642,GJ118.2A+GJ9105A,TIC436933290+TIC436933294,-,-,J02556+2652A,K2IV,PM*,43.9127,26.8732,34,02556+2652,,,7.52,,,,,,,,,,,,,Chulkov+22,2022MNRAS.517.2925C,,,,,,,7.518,44.4324,22.506,0.845,,02556+2652,
62,HD18143A,Gaia DR3 116037204451525376,HD18143A,HIP13642,GJ118.2A+GJ9105A,TIC436933290+TIC436933294,-,-,J02556+2652A,K2IV,PM*,43.9127,26.8732,34,02556+2652,,K2IV+M0V,7.68,10.02,,,,,,,,,,,,WDS_THE.csv,,0.49,,,,4.6,4.6,7.518,44.4324,22.506,0.845,11.59,02556+2652,
63,HD18143A,Gaia DR3 116037204451525376,HD18143A,HIP13642,GJ118.2A+GJ9105A,TIC436933290+TIC436933294,-,-,J02556+2652A,K2IV,PM*,43.9127,26.8732,34,02556+2652,,,,,,,,,,,,,,,,StelleDoppie,ORB6,,,,,,,7.518,44.4324,22.506,0.845,,02556+2652,
64,HD18143A,Gaia DR3 116037204451525376,HD18143A,HIP13642,GJ118.2A+GJ9105A,TIC436933290+TIC436933294,-,-,J02556+2652A,K2IV,PM*,43.9127,26.8732,34,02556+2652,HIP13642,,,,910.0,0.27,,,108.0,111.5,,,,0.92,0.62,Qier_An+25,2025ApJS..280...61A,,,,,3.94,,7.518,44.4324,22.506,0.845,,02556+2652,
65,HD19308,Gaia DR3 138972467251590656,HD19308,HIP14532,-,TIC186807955,-,-,J03077+3637A,G0,PM*,46.9142,36.6176,39,03077+3637,,,,,,,,,,,,,,,,COMPOSITE,,,,,,,,7.36,25.8035,38.754,1.025,,03077+3637,
66,HD19308,Gaia DR3 138972467251590656,HD19308,HIP14532,-,TIC186807955,-,-,J03077+3637A,G0,PM*,46.9142,36.6176,39,03077+3637,,,,,,,,,,,,,,,,StelleDoppie,ORB6,,,,,,,7.36,25.8035,38.754,1.025,,03077+3637,
67,HD28033,Gaia DR3 145293181643038336,HD28033,HIP20712,-,TIC17418956,-,-,-,F8V,SB*,66.5771,21.4704,43,,HIP20712,F8V+,7.38,,8.6,0.22,,,,,,,,,,COMPOSITE,,,,,40.05,,,7.38,21.0221,47.569,1.205,,-,
68,HD28033,Gaia DR3 145293181643038336,HD28033,HIP20712,-,TIC17418956,-,-,-,F8V,SB*,66.5771,21.4704,43,,HIP20712,F8V+,7.38,,8.6,0.23,,,,,,,,,,Pourbaix+04,1978AJ.....83.1114G,,,,38.0,0.09,,7.38,21.0221,47.569,1.205,,-,
69,HD28033,Gaia DR3 145293181643038336,HD28033,HIP20712,-,TIC17418956,-,-,-,F8V,SB*,66.5771,21.4704,43,,HIP20712,F8V+,7.38,,8.6,0.22,,,,,,,,,,Pourbaix+04,2006RoAJ...16....3I,,,,42.1,0.09,,7.38,21.0221,47.569,1.205,,-,
70,HD25768,Gaia DR3 162480953568960256,HD25768,HIP19136,-,TIC348870795,-,-,-,F8,SB*,61.519,26.2118,47,,HIP19136,F8+,7.58,,1572.0,0.29,,,,,,,,,,Pourbaix+04,2011Obs...131..225G,,,,248.4,2.58,,7.55,18.3367,54.535,1.125,,-,
71,HD25768,Gaia DR3 162480953568960256,HD25768,HIP19136,-,TIC348870795,-,-,-,F8,SB*,61.519,26.2118,47,,HIP19136,F8+,7.58,,1572.0,0.29,,,,,,,,,,COMPOSITE,,,,,248.4,,,7.55,18.3367,54.535,1.125,,-,
72,HD35681,Gaia DR3 182461725546788480,HD35681,HIP25580,-,TIC2944024,-,-,J05280+3346A,F7V,PM*,82.0039,33.7637,52,05280+3346,,F7V+M3.5,5.5,10.3,,,,,,,,,,,,WDS_THE.csv,,0.41,,,,9.9,10.1,6.41,29.1933,34.254,1.225,1.2,05280+3346,
73,HD35681,Gaia DR3 182461725546788480,HD35681,HIP25580,-,TIC2944024,-,-,J05280+3346A,F7V,PM*,82.0039,33.7637,52,05280+3346,,F7V+M3.5,5.5,10.3,4883.93,,,,,,,,,,,COMPOSITE,,0.41,,,,9.9,10.1,6.41,29.1933,34.254,1.225,1.2,05280+3346,
74,HD33632,Gaia DR3 187247281185703296,HD33632,HIP24332,-,TIC187679739,-,-,J05133+3720A,F8V,PM*,78.3227,37.3373,53,05133+3720,,,6.48,,91.0,,,0.8,,,,,,,,Chulkov+22,2022MNRAS.517.2925C,,,,,,,6.489,37.8953,26.388,1.07,,05133+3720,
75,HD33632,Gaia DR3 187247281185703296,HD33632,HIP24332,-,TIC187679739,-,-,J05133+3720A,F8V,PM*,78.3227,37.3373,53,05133+3720,,F8V+L9.5,6.5,11.0,,,,,,,,,,,,WDS_THE.csv,,0.38,,,,0.7,0.7,6.489,37.8953,26.388,1.07,1.58,05133+3720,
76,HD33632,Gaia DR3 187247281185703296,HD33632,HIP24332,-,TIC187679739,-,-,J05133+3720A,F8V,PM*,78.3227,37.3373,53,05133+3720,,,6.49,11.0,91.0,,,0.8,,,,,,,,COMPOSITE,,0.38,,,,0.7,,6.489,37.8953,26.388,1.07,,05133+3720,
77,HD34411,Gaia DR3 188771135583573504,HD34411,HIP24813,GJ197,TIC409104974,-,15Aur+lamAur,J05191+4006A,G1.5IV-VFe-1,PM*,79.7853,40.0991,54,05191+4006,,,,,,,,,,,,,,,,COMPOSITE,,,,,,,,4.701,79.6021,12.562,1.015,,05191+4006,
78,HD34411,Gaia DR3 188771135583573504,HD34411,HIP24813,GJ197,TIC409104974,-,15Aur+lamAur,J05191+4006A,G1.5IV-VFe-1,PM*,79.7853,40.0991,54,05191+4006,,,,,,,,,,,,,,,,StelleDoppie,ORB6,,,,,,,4.701,79.6021,12.562,1.015,,05191+4006,
79,HD36929A,Gaia DR3 194405990937384064,HD36929A,-,-,-,-,-,J05371+4150A,-,*,84.28,41.8283,55,05371+4150,,F8,7.45,8.57,590.56,,,,,,,,,,,COMPOSITE,,0.84,,,,2.0,2.7,7.344,22.8408,43.781,1.085,35.65,05371+4150,
80,HD36929A,Gaia DR3 194405990937384064,HD36929A,-,-,-,-,-,J05371+4150A,-,*,84.28,41.8283,55,05371+4150,,F8,7.45,8.57,,,,,,,,,,,,WDS_THE.csv,,0.84,,,,2.0,2.7,7.344,22.8408,43.781,1.085,35.65,05371+4150,
81,HD31500A,Gaia DR3 199279271288398720,HD31500A,HIP23100,-,TIC121298627,-,-,J04582+4003A,F5,PM*,74.5541,40.0569,56,04582+4003,,F5,7.6,11.0,551.51,,,,,,,,,,,COMPOSITE,,0.48,,,,1.6,1.8,7.21,20.6694,48.381,1.045,4.37,04582+4003,
82,HD31500A,Gaia DR3 199279271288398720,HD31500A,HIP23100,-,TIC121298627,-,-,J04582+4003A,F5,PM*,74.5541,40.0569,56,04582+4003,,F5,7.6,11.0,,,,,,,,,,,,WDS_THE.csv,,0.48,,,,1.6,1.8,7.21,20.6694,48.381,1.045,4.37,04582+4003,
